구분,2017년 7월,2017년 8월,2017년 9월,2017년 10월,2017년 11월,2017년 12월,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년8월,2022년9월,2022년10월,2022년11월,2022년12월,2023년 1월,2023년 2월,2023년 3월
대기오염방지설비 당월 (누계 만대),128432,176315,227274,273027,313743,355136,309007,336658,375697,64137,79566,105972,139479,174558,196516,183034,190168,212631,238516,236750,94245,60269,84363,255969,280039,306415,336297,351097,402925,408579,333714,34363,57162,82001,109045,137374,163128,193596,224344,248955,298962,336817,,94666.8,126276,168123,211536,241437,275104,314018.4,364223,393117,433311,480837.3,,55668,154435,213367,134455.1,170935.1,206089.4,259176,299216,332188,371460.3,434434,,68599,109857
대기오염방지설비 전년동기대비 증가율 (%),-2,10.2,4.5,10,10.3,8.9,13.3,-8.1,-17.8,,9.8,7.8,-1,6,-10.8,-0.2,-6.4,2.8,23.2,-3.1,,17.3,7.7,0.9,-11,-6.5,-4.6,-3.1,-22.4,-0.4,-8.8,,-24.1,8.5,5.1,3.6,-8.6,-16.3,-12,-30.2,-5.1,-24.7,,0,20.3,4.1,-6.5,-23.6,-6.9,-8.5,0.7,11.5,-14.8,17.3,,0,53.9,60.9,-3.8,5.5,-3.8,59.4,7.6,-27.6,8.2,27.8,,,28.7
대기오염방지설비 누계 증가율(%),-1.5,1.1,-0.8,0.9,2.1,2.8,10.7,5.9,3.5,33.1,13.3,12.1,8.5,7.3,4.5,-0.4,-1.8,-1,2.4,-4.4,49.9,-1.4,5.3,2.9,94.6,44.2,33,-7,-4.6,-7.6,-13.7,-41.5,-25.9,-11.7,-14.5,-22.5,-29.1,-23.1,-18.5,-20.3,-17.3,-21.1,,182.1,99.7,62.1,45.7,25.6,20.6,17.1,23.3,19.7,15.2,15.4,,-1.9,75,68.3,-2.3,0.7,1.4,8.6,8.4,0.6,1.3,4.3,,37.4,37.5
공업용로봇 당월 (대),9782,10057,12614,12458,12121,13085,9445,11243,12682,,14036,13495.9,13659.2,13777,13669,14068,11448,9590,11104,11961,,13696,12917,13317.2,13680,15477.5,14599.8,13726,14369,16080,20013.8,,17241,19257,17794,20761,21170,20663,23194,21467,23635,29706,,0,33075,30178,29743,36383,31342,32828,29006,28460,31915,35175,,0,44322,32535,36616,46144,38183,41261,43009,39030,40113,40457,,,43883
공업용로봇 당월 (누계 대),35073,44360,59097,71631,82175,95351,104793,118169,131079,18770,32950,46412.9,60071.1,73849.1,87709,101717,108271,118452,131495,147682,20041.3,32330.3,45258,60260,75406,100905.5,120777.5,133574.5,151079.5,166594.6,186943.4,21292,34645.3,54602.3,72619,93794,115976,136873,160715,183447,206851,237068,,45433,78714,105439,136405,173630,205094,239249,268694,298098,330098,366044,,76381,102496,125439,166091,202436,238041,277536,322544,362568,402638,443055,,62036,103691
공업용로봇 전년동기대비 증가율 (%),57.4,47.3,61.1,90.4,61.3,103.2,63.7,45.8,56.5,,34.4,35.4,35.1,7.2,6.3,9,-16.4,-3.3,-7,-12.1,,-14,-7.3,-9.3,-11,-7.1,-19.3,-14.6,1.7,4.3,15.3,,12.9,26.6,16.9,29.2,19.4,32.5,51.4,38.5,31.7,32.4,,0,80.8,43,50.1,60.7,42.3,57.4,19.5,10.6,27.9,15.1,,0,16.6,-8.4,-13.7,2.5,-8.8,-1.1,15.1,14.4,0.3,-9.5,,,-5.7
공업용로봇 누계 증가율(%),51.7,50.4,52.3,57,63,69.4,68.9,68.8,68.1,25.1,29.6,32.2,33.7,23.9,21,19.4,9.3,8.7,6.6,4.6,-11,-11.7,-10.2,-11.9,-10.1,-6.3,-6.6,-9.1,-8.8,-5.3,-6.1,-19.4,-8.2,4,6.7,10.3,10.4,13.9,18.2,21,22.2,19.1,,117.6,108,79.2,73.2,69.8,64.6,63.9,57.8,51.9,49,44.9,,29.6,10.2,-1.4,-9.4,-11.2,-11.5,-10.5,-7.1,-3.2,-2.6,-4.8,,-19.2,-3
발전설비 당월 (만 kW),1157.3,1167.9,1614.6,895.4,774.4,1184,1033.4,946.2,1191,,1029.9,555.2,1286.7,1319.7,679,845.6,1162.5,859.5,872.6,808.6,,794.8,545.4,842.3,1128.8,703.5,821.9,949.5,734.4,1033.6,1035.3,,1044.2,887.7,1023.6,1612.2,1064.6,998.1,1289.6,1528.1,1596.7,1689.9,,0,1242.9,1090.1,1287.6,1418.9,1107.9,1365.3,1251.3,1485.9,1713.3,1874.1,,0,1517.4,919.2,1486.3,1667.9,894.8,1174.7,2183.6,1934.4,1901.4,2616.4,,,1826.5
발전설비 당월 (누계 만kW),3754.5,4918.6,6533.9,7427.2,7935.6,9096.9,10127.5,10814.5,11832.7,1286.8,2287.1,2828.2,4114.8,5433.2,6108.4,6950.6,8120.2,8936.4,9805.5,10600.5,1116.6,1860.9,2406.1,3499.4,4732.3,5511,6160.1,6906,7564.1,8202.9,9274.1,819.4,1870.9,2764.4,3802,5397.6,6668.4,7838.6,9283.2,10888.9,12487.8,14168.2,,1900.7,3131.9,4297.8,5592.3,7014.6,8112.8,9482.1,10705.7,12263.2,14040.4,15954.6,,3277.9,3518.4,4448.8,6078.9,7682.4,8432.5,9602.1,11775,13850.4,15771.9,18376.1,,1978.4,3804.5
발전설비 전년동기대비 증가율 (%),53.1,-20.1,4.4,-16.8,-8.7,-16,7.3,-22.4,-9.9,,-5.6,-48.7,22,-11,-21.8,12.2,-0.4,-13,-5.7,-31.6,,-23.2,-0.3,-37.8,-22.7,-10.2,-13.3,-24.5,-21,16.7,18.3,,20,48,19.7,43,44.7,14.4,24.6,86,39.6,31.9,,0,17.6,10.8,10.9,-18.8,-8.8,25.2,-7.9,-5.7,1.9,9,,0,19.5,-15.7,15.1,17.7,-10.3,-13.2,73.8,29.1,12.5,42.2,,,19.7
발전설비 누계 증가율(%),10.9,1.5,2.2,-0.5,-2.1,-4.7,-3.5,-3.3,-7.3,-6.3,-6.8,-19.9,-10.2,-9.7,-11.6,-9.2,-7.7,-7,-6.8,-9.3,-9.4,-18.2,-14.7,-21.2,-20.6,-18.2,-18.2,-19.4,-19.8,-18,-15,-30.8,-6.9,5.7,5.5,16.7,18.9,18.9,21,28.7,30.1,30.3,,102.5,55.5,40.6,32.1,17.4,9.6,11.6,8.3,7.2,7,9.9,,9.2,9.3,3,8.4,9.4,5.8,2.8,11.5,14.3,14.2,17.3,,-1.9,7.5
자동차 당월 (만 대),220.9,218.2,225,207.3,213.4,291.8,260.1,310.7,305.4,,270.2,245,238.8,233.9,206.4,203.2,242.6,237,258.2,252.6,,258.7,202,185.1,196,185.4,200,222,227.9,260.8,270.5,,146.1,210,215.2,231.1,225.8,208.8,246.1,248.1,278.3,280.4,,0,251.7,227.3,209.6,203.8,185.3,173.4,218.6,234.4,267.3,296.6,,0,238.7,128.2,199.3,257.7,244.5,242.6,275.8,255.9,242.3,248.8,,,260.8
자동차 당월 (누계 만대),952.7,1172.3,1396.8,1604.1,1818.1,2278.9,2349.4,2673.1,2994.2,441.8,713.1,958.3,1199.3,1430.1,1637.7,1840.8,2084.2,2322.6,2582,2796.8,372,630.9,832.4,1017.9,1214,1435,1592.4,1808.7,2029.3,2285.8,2552.8,200.5,347.1,557.3,765.6,996.9,1254.5,1403.6,1650.5,1897.9,2178.4,2462.5,,385.5,638.3,865.8,1075.2,1279,1459.1,1634.3,1855.4,2091.7,2364.4,2652.8,,426.6,667.3,795.3,994.3,1248.2,1500.6,1735.8,2011.8,2266.8,2500.2,2747.6,,365.3,625.7
자동차 전년동기대비 증가율 (%),0.3,4.1,6.2,4.3,4.7,3.1,0.6,1.8,0.4,,0.9,10.8,9.5,5.3,-0.5,-4.4,-10.6,-9.2,-16.7,-14.9,,-2.6,-15.8,-21.5,-15.2,-11.5,-0.6,-6.9,-2.1,3.7,8.1,,-43,5.1,19,20.4,26.8,7.6,13.8,11.1,8.1,6.5,,0,69.8,6.8,-4,-13.1,-15.8,-19.1,-13.7,-8.3,-7.1,3.4,,0,-4.9,-43.5,-4.8,26.8,31.5,39,25.4,8.6,-9.9,-16.7,,,11.2
자동차 누계 증가율(%),6.9,6.4,6.3,6,5.9,4.9,5.3,4.1,3.2,-5,-2.6,0.4,2,3.5,3.2,2.2,0.6,-0.4,-2.3,-3.8,-15.1,-10.4,-11.8,-14.1,-14.2,-12.8,-12.5,-12,-11.1,-9.6,-8,-45.8,-44.6,-32.3,-23.6,-16.5,-9.7,-9,-6.1,-4.1,-2.7,-1.4,,89.9,81.7,53.4,38.4,26.4,18.9,13.5,9.4,7.1,5.3,4.8,,11.1,4.9,-7.8,-7.2,-2.1,2.9,6.1,8.1,8.1,5.6,3.4,,-14,-5.1
조선 당월 (만 톤),353.1,363.4,365.3,390.5,298.8,352.9,286.1,291.8,334.9,,239.2,259,255.1,309.8,255.8,300.1,272.4,291.9,234.9,217.7,,263.8,261.6,275.4,279.6,266.6,273.9,309.2,279.2,252.5,225.4,,151.8,311.1,211.1,274.2,201.1,224.9,293.1,203,312.9,272.7,,0,244.2,264.8,245.9,319,156.2,234,212.8,286.2,357.2,277.6,,0,286.4,242,254,306.8,228.8,252.9,240.6,219.1,234.7,255.9,,,312.1
조선 당월 (누계 만톤),1933.9,2297.4,2669.1,3051,3320.2,3671.1,3953.9,4162.1,4377,852.3,862.5,1114.4,1336.5,1646.1,2075.1,2351.3,2455.8,2755.6,2981.2,3190,599.9,887.8,1150.9,1433.2,1625.9,1848.5,2224,2411.2,2606.8,2820.8,3068.8,369,521,840.4,1051.5,1333.4,1535.2,1755.9,2045.2,2243.9,2498.5,2751,,450.5,758.2,1045,1295.7,1610.3,1762.9,1999.9,2211.9,2487.5,3079.4,3354.3,,447.3,753,994.7,1247.2,1554.2,1608.8,1858.4,2262.6,2483.3,2719.5,3001.4,,341.7,674.5
조선 전년동기대비 증가율 (%),10.6,21.1,-17.5,33,-11.3,-11.1,-4.7,-13.6,-4.2,,-40.1,-2.7,-9.7,12.5,-14.4,28.7,3.8,35.6,-0.6,-15.5,,15.6,10.8,1.7,7.4,5,0.8,50.8,7.9,29.1,18.1,,-23.3,37.7,-19.7,4.4,-17.8,-11.8,-3.3,-27.5,24.2,23.4,,0,60.4,-15.5,14.6,15.6,-22.8,3.1,-27.3,41.1,9.6,-22.3,,0,2.6,-9.3,-17.7,-3.9,68.2,35.7,-6.1,-19,-31.3,-7.8,,,13.6
조선 누계 증가율(%),31.4,29.3,20.5,21.6,17.4,14.2,12.6,12.1,9.5,-10.2,-35.4,-30.1,-28.8,-23.5,-19.4,-16.3,-11.6,-7.9,-7.3,-7.5,-21.4,14.3,13.8,6.6,12.2,-3.3,7,10,8.4,10.7,9.3,-22.9,-28.5,-15.4,-15.1,-10.4,-9.1,-14.7,-8.9,-11.5,-10.3,-8.2,,20.8,43.8,22.8,21.4,19.1,13.8,12.5,7,10.3,11.6,8,,-9.5,-9.8,-11.1,-13.1,-11.1,-2.3,1.4,-0.8,-2.1,-5.1,-4.5,,-21.9,-7.9
세탁기 당월 (만 대),627.4,586.7,635.1,598,630.4,718.7,658.3,682.7,713.6,,658.2,618.3,562.4,538.5,532.4,641.5,652.1,662,635.6,696.3,,661.1,646.8,680.6,650.2,491.5,678.2,720.5,761.5,720.9,726.5,,640,555.7,608.3,655.5,686.2,749.2,799.2,840.6,856.6,806.4,,0,831.2,772,703.2,664,623.8,673.8,699.5,766.8,843.8,785.6,,0,761,649.9,679.5,660.6,657.7,690.5,870.3,880.6,953.1,836.4,,,907
세탁기 당월 (누계 만대),2555.7,3143.6,3769,4370.9,5001.3,5728.1,6395.4,7013.1,7500.9,1100.6,1760.5,2371.6,2856.6,3397.2,3944.6,4587.8,5147.1,5811.2,6446.2,7150.7,1085.9,1746.2,2395.9,3073.6,3732.5,4243.7,4917,5637.5,6341.5,6710,7433,775.7,1416.2,1979.9,2583.4,3260.2,3984.9,4733.9,5533.1,6373.8,7228.5,8041.9,,1313.5,2144.7,2916.7,3618.4,4293.9,4917.7,5591.5,6282.9,6968.5,7833,8618.5,,1380.3,2141.8,2792.4,3471.7,4113.3,4769,5460.5,6424.9,7318,8271.1,9106.3,,1408,2295.3
세탁기 전년동기대비 증가율 (%),4.2,2.6,0.8,3,1.3,10.3,5,-8.9,-2.5,,-2.4,5.7,5.8,-3.9,-3.6,6.8,-2.8,4,-5.9,-2.9,,5.5,9.4,19.8,19.8,-7.3,4.9,7.6,13.5,20,9.7,,0.5,-10,-8.2,5.3,37.3,9.3,13.3,10.2,13.1,5.1,,0,29.4,34.2,12.1,13,4.2,-10,-12.2,-8.7,-1.5,-2.7,,0,-8.4,-15.8,-3.3,-0.7,5.6,2.5,24.4,12.9,12.9,5.4,,,18.8
세탁기 누계 증가율(%),4.8,4.4,3.5,3.7,3.2,4,3.9,3.1,3.2,-1.1,-1.7,-0.2,1.2,0.3,0.1,1,0.7,0.4,-0.3,-0.4,-0.1,1.8,3.9,6.9,9.2,7.3,6.8,7.5,7.6,10.1,9.8,-20.2,-11.9,-11.1,-10.6,-7.2,-2.6,-1.4,0.5,1.6,3.6,3.9,,68.2,50.7,44.8,37.3,33.5,29,22.6,17.3,12.4,11.1,9.5,,5,-0.1,-4.3,-4.1,-4.1,-2.9,-2.3,2.3,3.7,4.5,4.6,,1.8,6.9
냉장고 당월 (만 대),834.4,848.5,871.3,851.1,858,846.6,813.2,782.2,660.4,,726,752.6,757.8,713,651.6,693.5,721,685.4,707,618.8,,735.7,771.2,777.8,746.1,734.2,701.7,736.7,704.6,722.2,690.2,,726.6,701.5,776.7,887.4,914.7,908.5,935.8,879.6,898.9,796.4,,0,946.6,772.9,748.7,742.5,741,736.4,763.8,763.6,808.5,757.8,,0,867.1,652.4,667,734.4,728.8,702.3,799.5,690,758.6,745.1,,,936.3
냉장고 당월 (누계 만대),3100.6,3949.6,4822.4,5728,6581.5,7414.4,8224.6,8742.5,8670.3,1182.9,1760.6,2513.2,3268.6,3979.3,4629.5,5324.7,6016.7,6687.7,7419,7876.7,1099,1836.8,2615,3461.2,4250.4,5043.4,5736.5,6427.3,7110.9,7657.4,7904.3,667,1373.1,2053.3,2845.3,3759.3,4691.3,5537.2,6476.1,7381.7,8260.5,9014.7,,1210.7,2157.8,2944.9,3711.6,4434.6,5177.3,5913.5,6620.1,7412.2,8253.3,8992.1,,1194,2065.7,2724.9,3401,4164.2,4881.7,5591,6433.1,7159,7917.5,8664.4,,1321,2226.6
냉장고 전년동기대비 증가율 (%),3.1,6.3,1.8,15.5,17,14.2,18.6,10,3.7,,-2.6,14.5,12.1,-3.6,-7.3,0.5,6,5.2,7.6,5.8,,1.9,2.1,0.6,2.8,9,-5.2,3.9,3,7.7,21.9,,4,-3.3,7.4,21.7,29.7,28.5,28.2,25.8,22.5,8.1,,0,28.9,8.5,-4.2,-15.4,-18.3,-19,-18.5,-13.5,-10.3,-5.2,,0,-10,-15.8,-11.5,-0.8,-2.1,-5.5,4.6,-9.7,-7,-5,,,9
냉장고 누계 증가율(%),12.4,10.5,8.9,10.9,11.6,13.3,13.7,12.6,13.6,4.5,-2.3,2.3,4.4,3.1,2,1.6,2.1,2.2,2.9,2.5,6.4,4.7,4.1,3.7,4.5,4.2,2.8,4.3,3.8,4,8.1,-37.4,-19.8,-16.5,-12.7,-6.9,-2,-1.9,1.7,4,6.3,8.4,,83,54.6,40.9,29.2,18.8,11.3,6.7,2.1,0.3,-0.2,-0.4,,-2.5,-5.9,-7.5,-8.1,-6.2,-5.9,-5.7,-3.1,-3.3,-3.7,-3.6,,7.9,8.4
에어컨 당월 (만 대),1950.2,1870.6,1917.5,1665.4,1462.8,1525.4,1347.3,1460.1,1574.2,,2019,2143.2,2134.4,2079.8,1718.8,1475.3,1608.3,1356.8,1519.8,1832,,2406.9,2363.6,2191.2,2133.1,1686.1,1433.2,1783.9,1332.2,1545.5,2034.9,,1940.3,1915.9,1942.8,2490.3,1851.2,1533,1714.1,1448.9,1771.6,2152.5,,0,2591.6,2421,2205.8,2167,1801.8,1491.2,1508.1,1454.9,1662.8,1963.5,,0,2552.5,2279.2,2182.9,2221.4,1829.9,1607.2,1858,1443.2,1513.2,1770.5,,,2930.7
에어컨 당월 (누계 만대),6357.9,8252.3,10172,11837.5,13300.2,14830.8,16164.7,17542,18039.8,2802.3,4853.6,7031.2,9025.4,11022.6,12702.5,14178.2,16011.4,17175.5,18703.1,20486,2788.5,5199,7546.5,9745.9,11978.8,13853.1,15239.5,17005.4,18331.7,19956.1,21866.2,1628.5,3688.1,5581.5,7798.8,10414.9,12353,13887.9,15602.9,17046.6,18929.2,21064.6,,2940.4,5595.3,7939.6,10175.9,12328.3,13768.6,15219.8,16659,18092.4,19741.4,21835.7,,2925.9,5446.7,7742.9,9933.5,12248.9,14078.8,15722.1,17491.5,18959.5,20449.4,22247.3,,3330.5,6260.1
에어컨 전년동기대비 증가율 (%),20.5,24.6,13.4,23,19.1,20.9,13.5,20,21.4,,8.4,9.7,18.4,12.1,3.8,-0.4,9.3,-0.4,7.6,10.6,,22.3,15.4,6.4,2.4,-3,-2.9,10.6,-2.1,1.2,10.9,,-18.8,-17.3,-14.7,12,6,0.5,-8.5,0.2,5.5,-2.9,,0,32,22.5,14,-12.1,2.8,4.3,-6.9,6,3.7,-1.7,,0,0.5,-4,0.1,4.4,0.6,6.1,20.9,-3.3,-10.7,-9.9,,,13.2
에어컨 누계 증가율(%),17.6,19,17.9,18.6,18.7,18.9,18.5,19.9,26.4,17,13.6,12.9,16.1,14.4,12.6,11.1,12.9,10.6,10.3,10,6.2,13.3,12.5,11,10.2,8.7,7.9,6.4,6.2,5.8,6.5,-40.2,-27.9,-24.8,-23.1,-16.4,-14,-12.2,-11.7,-10.7,-8.8,-8.3,,70.8,49.8,39.5,33.4,21,17.3,15.6,13,12.3,11.4,9.4,,3.9,0.7,-0.7,-0.8,1.1,1.1,1.9,3.5,3.2,2,1.8,,10.8,12.6
컬러TV 당월 (만 대),1273.9,1201.1,1311.2,1273.5,1545.7,1756.7,1749,1800.3,1881.9,,1703.7,1584.9,1555.8,1415.3,1518.5,1883.8,2033.8,2078.3,2026.1,2112.1,,1728.5,1688.6,1583.2,1404.8,1356.6,1667.8,1952.2,1996.8,1977.1,2008.6,,1818.4,1478,1509.9,1610.1,1754.1,1932.8,2057.4,1960.2,1962.2,1844.1,,0,1824,1514.2,1442.9,1396.5,1338.7,1569.4,1748.2,1759.2,1765.8,1888.4,,0,1846,1512.7,1540.1,1552.5,1650,1802.1,2096.9,1926.2,1783.1,1727.3,,,1869
컬러TV 당월 (누계 만대),4886.9,6094.5,7422.7,8700.7,10253.2,12008.2,13780.8,15584.3,17233.1,2716.5,4285.1,5818.4,7339.3,8686.8,10274.7,12143.2,14183.5,16265.7,18294.8,20381.5,2826.4,4463.5,6206.7,7814.9,9134.3,10538.1,12165.9,14141.3,15595.6,17570.1,18999.1,1968.7,3805.1,5191.2,6703.4,8312,10067.7,12023.1,14101.5,16065.3,17967.8,19626.2,,2578.2,4425.3,5837.6,7282.9,8679.3,10018,11588,13141.5,14889,16653.7,18496.5,,2543.1,4408.2,5920.1,7441,8986.4,10636.4,12174.1,14229.2,16139.6,17851.3,19578.3,,2424.5,4363.2
컬러TV 전년동기대비 증가율 (%),-11.6,-6.6,-3.4,-2.4,-3.1,3.5,10.9,8.8,6.9,,9.8,20.4,24.3,4.2,16,18.4,10.6,17,7.9,10.5,,3.1,5.7,0.8,-1.7,-12.1,-12.8,-4,-0.8,0,0.7,,10.2,-5.4,5.3,21.5,34.2,20.6,13.1,1.5,5.1,-6.8,,0,3.2,3.6,-3.2,-13.4,-24.6,-19.3,-14.6,-5.5,-7.5,4.4,,0,2.7,1.5,8.8,13.3,25.6,16.5,20.4,9.2,1.2,-8.3,,,1.2
컬러TV 누계 증가율(%),-7.9,-7.3,-6.4,-5.8,-5.2,-3.7,-1.3,0.8,1.6,25.5,15.3,15.5,17.8,15.1,16.6,16.9,15.6,15.7,14.9,14.6,5.2,5.6,7,5.3,4.6,1.4,-1.3,-1.4,-3,-2.8,-2.9,-26.6,-10.3,-10,-6.9,-2.5,2.2,4.9,5.4,6.1,5.8,4.7,,31.4,18.1,14.2,10.2,5.6,0.2,-3,-5.6,-4.9,-4.6,-3.6,,1,1.7,3.8,4.5,5.8,8.5,7.2,9.2,9.1,7.8,6.4,,-4.7,-0.9
컴퓨터 당월 (만 대),2598.8,2829.5,3358.2,2977.9,3434.2,3737.8,3361.2,3662.7,3382.3,,3254.6,2444.5,3002.5,3235.7,2892.6,3377.6,3523.9,3094.1,3264.8,3011,,3037.8,2643,2732.8,3276.4,2886.8,3155.8,3778,3316.7,3393.9,3373.4,,3144.5,3325.1,3509.4,3421.6,3464.1,3639.1,4078,4237,4261.4,4806.8,,0,4395.7,3750.7,3764.3,4300.2,3738.2,3983.1,4508.4,4284.4,4410.9,4664,,0,4244.3,3266.3,3673,4334.2,3567.2,3302.4,3985.3,3627.7,3220.6,3806.4,,,3499.7
컴퓨터 당월 (누계 만대),10172.5,13002.7,16372.4,19328.1,22798.5,26354.2,29429.9,33071.8,36376.4,4467.6,7708.4,10161.7,13237.5,16436.7,18609.5,21871.7,25381.8,28455.6,31733.6,35192.4,4202.2,7184.6,9809,12318.3,15630.7,18635.1,21755.9,25558.8,28859,32277,35646.6,2882.4,6042,9347.4,13043.6,16468.2,19928.3,23567.1,27349.8,31580.6,35851.7,40509.2,,6387.3,10683.4,14463,18647.6,23032.2,26690.7,30700.6,35164.3,39490.1,43913.1,48546.4,,6184.8,10633,14375.4,18025.1,22334.1,25890.2,29267.7,33113.2,36741.7,39936,45314.8,,4785.7,8343.4
컴퓨터 전년동기대비 증가율 (%),-0.7,2.5,19.9,20.9,21.4,9.4,4.2,6.2,3.9,,4.8,-2.6,11.1,0.1,9.4,14.2,7,3.1,-1,-1.8,,-5.6,9.2,0.3,13.9,12.4,5.1,12.3,8.6,6.9,11.7,,5.5,31,27.5,3.4,19.9,14.9,9.6,31.8,28.7,44.5,,0,41.5,10.8,7.3,28.6,8.5,9.7,8.3,-2.1,7.2,3.9,,0,-4.8,-14.4,-4.5,-0.5,-5.6,-18.7,-13,-17,-28,-19.3,,,-19.4
컴퓨터 누계 증가율(%),-1.7,-0.8,2.7,5,7.4,7.9,7.5,7.5,7,6.3,6.5,4.2,6.3,7.8,7.3,7.7,8,5.1,4.8,4.5,-3.3,-3.3,-0.6,1.9,4.2,5.2,5.6,6.7,6.7,6.9,6.9,-30.9,-14.8,-3.2,5.7,5.2,7.2,8.3,8.9,11.7,13.5,16,,117.1,76.8,51.9,43,40.6,34.2,30.7,27.2,22.4,23.8,22,,-3.9,-2.3,-2.1,-4.9,-4.4,-4.4,-6.1,-7.3,-8.3,-10.4,-8.1,,-23.5,-21.9
반도체 당월 (억 장),129.4,136.2,145,133.3,151.7,139.6,134.3,136.2,150.3,,149.6,143.8,156.2,157,150.9,146.8,145.5,130.1,152.8,144,,138.4,141.1,165.2,148.9,172.3,180.4,183.2,179.5,185.8,201.6,,212.1,219.5,215,211,222,222.2,240.5,272.9,252.1,276,,0,290.9,286.5,298.7,308.2,315.7,320.8,304.4,300.5,300.6,299.4,,0,285,259.3,275.1,288,272.2,247.4,261.4,224.8,260.3,284.1,,,294
반도체 당월 (누계 억 장),463,599.1,744,878.2,1030,1150.6,1283.5,1416.6,1564.9,266.7,399.9,537.3,692.7,849.6,1000.7,1147,1291.1,1422,1577.1,1739.5,229.5,345.2,502.1,659.6,790.6,1070.2,1372,1436,1623.8,1810,2018.2,296.3,508.2,722.1,934.9,1146.8,1389.5,1587.9,1821.8,2113.9,2339,2612.6,,532.8,820.5,1103.7,1399.2,1712,2036.2,2398.9,2674.8,2975.4,3295.1,3594.3,,573.3,807,1073.7,1348.8,1660.8,1938,2181,2450.1,2674.9,2958,3241.9,,443,722
반도체 전년동기대비 증가율 (%),26.2,25,23.4,17.7,29.9,20.4,12.6,9.6,8.8,,10.8,14.3,17.2,17,12,5.8,-0.2,-7.3,7,-2.4,,-2.3,-2.1,6.7,-1.2,7.7,0.2,13.2,23.5,18.2,30,,20,29.2,3.4,11.1,9,12.1,16.4,20.4,19.6,20.8,,0,37.4,29.4,37.6,43.9,41.3,39.4,21.4,22.2,11.9,1.9,,0,-5.1,-12.1,-10.4,-10.4,-16.6,-24.7,-16.4,-26.7,-15.2,-7.1,,,-3
반도체 누계 증가율(%),25.4,25.1,23.8,23.7,24.7,22.1,20.7,19.4,18.2,33.3,15.2,13.6,14.6,15,14.5,13.4,11.7,9.8,9.8,9.7,-15.9,-8.7,-6.7,-1.2,-2.5,0.9,0,2.4,4,4.8,7.2,8.5,16,20.6,13.3,16.4,12.7,14.6,14.7,15.5,15.9,16.2,,79.8,62.1,51.7,48.3,48.1,47.3,48.2,43.1,40.2,37.1,33.3,,-1.2,-4.2,-5.4,-6.2,-6.3,-8,-10,-10.8,-12.3,-12,-11.6,,-17,-14.8
핸드폰 당월 (만 대),15214.9,14929.4,17303.4,16356.8,16284.1,19000.2,18042.3,18982.5,18630.9,,15243.6,14366.7,13957.6,14109.3,13518.4,14860.3,15771.1,15448.5,17404.3,16843.4,,14529.8,14672.7,14603,15125.5,14041.4,14523.1,16968.8,16096.4,18090.6,17529.4,,11804.2,10863.6,11028.2,12989.5,12225.8,13120.1,14877.8,13101.3,14966.3,16495.5,,0,13723,12754,13235.3,14322.4,12692.3,13316.2,15165,13867.2,16023.4,17461.3,,0,14384.1,12693,12666,13612.4,12049.7,12771.7,15584.1,15413.5,14169.8,14310.3,,,14216.5
핸드폰 당월 (누계 만대),60762.7,76875.7,93601.3,110081.8,126287.5,144797.8,161916.9,176271.1,192207.5,26331.7,41558,56479.3,70853.4,85082.2,98950.4,111330.1,126989,143071.9,164078.3,179846.4,23626.2,36101.4,50812.3,65819.1,80925.8,96235.5,110268,125828.6,141344.6,158791.9,170100.6,13876.5,25528.3,36176.9,46323.9,59110.9,72001.5,86527.8,101511.3,114590.2,130368.8,147193,,20858.9,35087.4,47794,60662.1,75401.9,87845.8,101342.5,115947.4,129428.5,145531.4,166151.6,,21270.6,35727.2,48071.5,60871.4,74369.2,86309.9,98962.5,114828.3,130349.5,144835.6,156080,,20371.4,33057.5
핸드폰 전년동기대비 증가율 (%),4.1,0,0.5,0.9,-1.4,7.3,4,-0.5,-13.7,,-1.4,2.8,2.5,-6.7,-8.2,0.6,-10.6,-11.6,-8.4,-9.4,,-7,0,1,-0.6,-4.5,-6.2,3.8,2.9,2.7,3.5,,-9,-15.2,-9,2.4,0.8,3.5,0.4,-10.7,-2.7,-2.6,,0,11.8,13.5,16.9,2.9,-2.1,-7.2,-5.2,-0.9,3.9,2.8,,0,2.8,-1.6,-4.6,-6.3,-7.2,-8,-0.6,6.5,-13,-18.4,,,-0.7
